number,county,population_2010,population_2011
1,Williams County,37512,37584
2,Defiance County,39082,39005
3,Paulding County,19557,19369
4,Van Wert County,28678,28625
5,Mercer County,40788,40715
6,Darke County,52963,52653
7,Preble County,42170,41986
8,Butler County,369102,370123
9,Hamilton County,802278,800658
10,Clermont County,197604,198859
11,Warren County,213429,215332
12,Montgomery County,535597,534558
13,Miami County,102487,102734
14,Shelby County,49349,49259
15,Auglaize County,45898,45741
16,Allen County,106358,105988
17,Putnam County,34476,34385
18,Henry County,28171,28002
19,Fulton County,42629,42363
20,Lucas County,441434,439359
21,Wood County,125950,127124
22,Hancock County,74689,74912
23,Hardin County,32127,31806
24,Logan County,45743,45623
25,Champaign County,40078,39824
26,Clark County,138274,137811
27,Greene County,161588,163566
28,Clinton County,41922,41913
29,Brown County,44863,44629
30,Adams County,28537,28459
31,Highland County,43621,43378
32,Fayette County,29014,28867
33,Madison County,43434,43114
34,Union County,52464,53095
35,Marion County,66458,66599
36,Wyandot County,22588,22643
37,Seneca County,56618,56522
38,Sandusky County,60885,60609
39,Ottawa County,41359,41320
40,Erie County,76978,76687
41,Huron County,59560,59416
42,Crawford County,43754,43310
43,Morrow County,34790,34810
44,Delaware County,175099,178535
45,Franklin County,1166202,1180800
46,Pickaway County,55740,55948
47,Ross County,78098,77581
48,Pike County,28612,28479
49,Scioto County,79664,79408
50,Lawrence County,62424,62415
51,Jackson County,33248,33124
52,Vinton County,13405,13380
53,Hocking County,29478,29466
54,Fairfield County,146417,147174
55,Licking County,166705,167164
56,Knox County,61090,61283
57,Richland County,124162,123144
58,Lorain County,301478,301874
59,Ashland County,53321,53252
60,Cuyahoga County,1278088,1270331
61,Medina County,172509,173504
62,Wayne County,114394,114649
63,Holmes County,42473,42793
64,Coshocton County,36938,36931
65,Muskingum County,86214,86243
66,Perry County,36037,36232
67,Morgan County,15034,15036
68,Athens County,65173,65079
69,Meigs County,23731,23648
70,Gallia County,31072,31031
71,Washington County,61713,61607
72,Noble County,14660,14752
73,Guernsey County,40155,39910
74,Tuscarawas County,92543,92483
75,Stark County,375372,374511
76,Summit County,541645,541325
77,Portage County,161386,161875
78,Geauga County,93389,93292
79,Lake County,230014,229988
80,Ashtabula County,101403,101085
81,Trumbull County,209840,208834
82,Mahoning County,238381,237363
83,Columbiana County,107890,107419
84,Carroll County,28846,28820
85,Harrison County,15825,15790
86,Jefferson County,69670,69035
87,Belmont County,70333,70122
88,Monroe County,14609,14613
